time,x,y,z,Vx,Vy,Vz
5130.0,3845330.982177904,1132812.2950803703,-5929837.226471726,6025.961451984592,2934.4483278684143,3647.8230485885283
5140.0,3905380.719921663,1162094.740164344,-5893037.688563181,5983.897470652972,2921.9936397958686,3711.9874475992137
5150.0,3965007.172923612,1191251.2321835842,-5855599.4271073425,5941.305892683644,2909.2582461073644,3775.5669775986853
5160.0,4024205.1068911576,1220278.9800408387,-5817528.313956699,5898.195052897973,2896.2453408593865,3838.5570311945166
5170.0,4082969.37087788,1249175.2246457553,-5778830.266287324,5854.573285313457,2882.9581311846355,3900.9531508454934
5180.0,4141294.8972637043,1277937.2390399522,-5739511.2451069355,5810.448920794336,2869.3998361569843,3962.7510275402387
5190.0,4199176.701711844,1306562.3285108367,-5699577.2537763715,5765.8302847560835,2855.573685676166,4023.946499435826
5200.0,4256609.883103061,1335047.830694371,-5659034.336544873,5720.725694923925,2841.48291937243,4084.535550458315
5210.0,4313589.623447782,1363391.1156669832,-5617888.577099544,5675.143459145503,2827.1307855313894,4144.51430886713
5220.0,4370111.187776614,1391589.5860268318,-5576146.097129337,5629.091873257717,2812.5205400392483,4203.8790457851765
5230.0,4426169.924009791,1419640.6769646218,-5533813.054903904,5582.579219007784,2797.655445348579,4262.626173696549
5240.0,4481761.262806111,1447541.8563241842,-5490895.643867627,5535.61376202842,2782.5387694647948,4320.752244913693
5250.0,4536880.717391897,1475290.6246530237,-5447400.091249115,5488.203749867105,2767.17378495344,4378.253950015809
5260.0,4591523.8833705075,1502884.5152430427,-5403332.65668646,5440.35741006926,2751.5637679684028,4435.128116260297
5270.0,4645686.438512961,1530321.0941616541,-5358699.630868503,5392.082948315169,2735.7119973011213,4491.371705968986
5280.0,4699364.142530193,1557597.9602734903,-5313507.334192358,5343.388546610429,2719.621753450852,4546.981814890872
5290.0,4752552.8368274765,1584712.7452529203,-5267762.115437415,5294.282361529667,2703.2963177160336,4601.95567054305
