time,x,y,z,Vx,Vy,Vz
51100.0,6908173.775152237,2772685.1503966907,-1974220.3370907002,2067.6265098838667,1475.2749938442696,6627.428565118137
51110.0,6928548.344331353,2787316.718588292,-1907860.6923679279,2007.2843223455027,1451.0280688647504,6644.396205223152
51120.0,6948319.4100049995,2801705.5041627465,-1841334.4933079064,1946.9266555473046,1426.7188603847078,6660.739752251922
51130.0,6967486.84269349,2815850.895951014,-1774647.9711923513,1886.5585630756225,1402.3496982737627,6676.461141821769
51140.0,6986050.5631835675,2829752.3059830754,-1707807.3377744062,1826.1850446752471,1377.9228924695026,6691.562343846343
51150.0,7004010.541991373,2843409.1692887163,-1640818.7849411508,1765.8110465288478,1353.4407329996088,6706.045361444417
51160.0,7021366.798828274,2856820.943698568,-1573688.48438693,1705.4414615487076,1328.905490011007,6719.912229866956
51170.0,7038119.402069668,2869987.109645474,-1506422.5872973183,1645.0811296798008,1304.3194138055865,6733.165015442823
51180.0,7054268.468226873,2882907.1699662427,-1439027.2240435379,1584.7348382145408,1279.6847348822184,6745.805814542495
51190.0,7069814.161422219,2895580.649703857,-1371508.5038871462,1524.4073221182775,1255.0036639851305,6757.836752560206
51200.0,7084756.692867447,2908007.0959101925,-1303872.514694813,1464.1032643645672,1230.2783921584205,6769.2599829143555
51210.0,7099096.320345512,2920186.0774493124,-1236125.3226629994,1403.8272962811452,1205.511090806055,6780.077686065939
51220.0,7112833.347695893,2932117.1848013923,-1168272.9720523667,1343.5839979046793,1180.7039117578051,6790.292068555121
51230.0,7125968.124303492,2943800.0298673287,-1100321.4849317246,1283.3778983449013,1155.8589873405588,6799.905362055813
51240.0,7138501.044591223,2955234.24577409,-1032276.8609313472,1223.213476157115,1130.9784304549253,6808.919822448171
51250.0,7150432.547516367,2966419.486680856,-964145.0770054741,1163.095159723341,1106.0643346567138,6817.337728908827
51260.0,7161763.1160707725,2977355.427586001,-895932.0872038194,1103.027327640608,1081.1187742436325,6825.161383019033
51270.0,7172493.276784981,2988041.764134963,-827643.8224519124,1043.0143091171985,1056.1438043465264,6832.393107890214
51280.0,7182623.599236349,2998478.2124290527,-759286.1903400952,983.0603843755904,1031.1414610252343,6839.035247307082
51290.0,7192154.695561235,3008664.5088352384,-690865.0749210011,923.1697850624174,1006.1137613686878,6845.090164888169
51300.0,7201087.219971314,3018600.409796959,-622386.336515342,863.3466946642055,981.0627035996026,6850.560243263601
51310.0,7209421.868274084,3028285.691645997,-553855.8115258329,803.5952489296792,955.9902671826983,6855.447883269914
51320.0,7217159.377397618,3037720.1504154615,-485279.31225908163,743.9195362970472,930.8984129373209,6859.755503162016
51330.0,7224300.524919622,3046903.601653909,-416662.62675527635,684.3235983271863,905.789083153429,6863.485537841819
51340.0,7230846.128600842,3055835.880240647,-348011.51862550125,624.8114301410245,880.6642017115288,6866.640438103779
51350.0,7236797.045922882,3064516.840202253,-279331.72689651605,565.3869808622721,855.5256742057145,6869.222669896772
51360.0,7242154.173630451,3072946.3545303373,-210628.96586283232,506.05415406398043,830.3753880701845,6871.234713602593
51370.0,7246918.447278113,3081124.315000593,-141908.92494592533,446.8168082193622,805.2152127088707,6872.679063330516
51380.0,7251090.840781558,3089050.631993153,-73177.26856041835,387.6787571560208,780.0469996281664,6873.558226228137
51390.0,7254672.365973431,3096725.2343142894,-4439.6359870794695,328.64377051395525,754.8725825723949,6873.874721807981
51400.0,7257664.072163755,3104148.0690194815,64298.358747527076,269.71557420662083,729.6937776620455,6873.631081290025
51410.0,7260067.04570499,3111319.101237882,133031.1269848933,210.89785088450486,704.5123835347955,6872.829846959827
51420.0,7261882.409561726,3118238.313998201,201753.10554207728,152.19424040191106,679.3301814887208,6871.473571541918
51430.0,7263111.32288507,3124905.708056039,270458.75681302475,93.60834028558043,654.1489356282262,6869.5648175887145
51440.0,7263754.980591719,3131321.3017226877,339142.56886385474,35.1437062057513,628.9703930118715,6867.10615688432
51450.0,7263814.612947759,3137485.130695419,407799.0555222582,-23.19614755106378,603.7962838025395,6864.1001698634145
51460.0,7263291.485157199,3143397.2478892887,476422.7564611595,-81.40774760781471,578.6283214196029,6860.549445044807
51470.0,7262186.896955253,3149057.7232704693,545008.2372767862,-139.48766102080376,553.4682026928252,6856.456578479586
51480.0,7260502.182206391,3154466.643691133,613550.0895612931,-197.43249480289217,528.3176080182991,6851.824173213681
51490.0,7258238.708507167,3159624.1127258977,682042.9309700828,-255.2388954453519,503.17820151581805,6846.654838764707
51500.0,7255397.876793821,3164530.250509862,750481.4052839642,-312.90354843922387,478.05163118799356,6840.951190612691
51510.0,7251981.120954682,3169185.193578231,818860.1824662902,-370.42317779590644,452.939529080755,6834.715849704867
51520.0,7247989.907447361,3173589.0947075617,887173.9587152089,-427.7945455674967,427.8435114452936,6827.951441974023
51530.0,7243425.734920747,3177742.122758627,955417.4565111684,-485.0144513667959,402.7651789011819,6820.6605978703865
51540.0,7238290.133841793,3181644.4625209235,1023585.4246598057,-542.07973188763,377.7061166008664,6812.8459519068865
51550.0,7232584.666127111,3185296.3145588245,1091672.6383303555,-598.9872604248984,352.66789439504737,6804.510142217547
51560.0,7226310.924779354,3188697.8950593956,1159673.8990897064,-655.7339463953456,327.65206699920566,6795.65581012878
51570.0,7219470.533528394,3191849.435681878,1227584.034932235,-712.316734858647,302.66017416104916,6786.285599743584
51580.0,7212065.146477287,3194751.183408852,1295397.9003055457,-768.7326060391272,277.69374082873816,6776.40215753827
