time,0,1,2,3,4,5
11007.0,6359197.154802491,-465799.4386922674,1106762.6893579292,-754.0833015889544,4945.989101691922,6178.292455176706
11008.0,6358438.393436563,-460853.1206678308,1112940.145598593,-763.4392509302859,4946.645704477324,6176.618462400113
11009.0,6357670.276661943,-455906.14976900857,1119115.9231555606,-772.794116334097,4947.294850175479,6174.935088118154
11010.0,6356892.805570486,-450958.5334537519,1125290.0126483268,-782.1478819635369,4947.936537057862,6173.242334329393
11011.0,6356105.981269889,-446010.27918174205,1131462.404698382,-791.5005319751225,4948.570763393099,6171.540203028485
11012.0,6355309.8048836915,-441061.39441439253,1137633.0899292105,-800.8520505191265,4949.197527448424,6169.828696208159
11013.0,6354504.277551291,-436111.8866148496,1143802.0589662893,-810.2024217399693,4949.816827491116,6168.107815861161
11014.0,6353689.400427939,-431161.7632479918,1149969.3024370887,-819.5516297766192,4950.428661789909,6166.377563982152
11015.0,6352865.174684755,-426211.03178042744,1156134.8109710754,-828.8996587629964,4951.03302861638,6164.637942569583
11016.0,6352031.601508721,-421259.6996804914,1162298.5751997177,-838.2464928283833,4951.629926246313,6162.888953627522
11017.0,6351188.682102696,-416307.7744182401,1168460.5857564907,-847.5921160978401,4952.219352961037,6161.130599167454
11018.0,6350336.4176854165,-411355.2634654453,1174620.8332768863,-856.9365126926242,4952.801307048743,6159.362881210044
11019.0,6349474.8094914965,-406402.17429558653,1180779.3083984219,-866.2796667306162,4953.375786805776,6157.585801786857
11020.0,6348603.858771436,-401448.5143838424,1186936.0017606525,-875.6215623267483,4953.942790537902,6155.7993629420525
11021.0,6347723.56679162,-396494.2912070806,1193090.9040051845,-884.962183593438,4954.502316561552,6154.0035667340435
11022.0,6346833.934834323,-391539.5122438464,1199244.0057756905,-894.3015146411112,4955.054363205291,6152.198415237437
11023.0,6345934.9641977055,-386584.1849743423,1205395.2977179368,-903.6395395891842,4955.598928840972,6150.383910584436
11024.0,6345026.656195787,-381628.3168803201,1211544.7704799264,-912.9762426145425,4956.136012020192,6148.560055146049
11025.0,6344109.012158367,-376671.91544486064,1217692.4147121918,-922.3116079734707,4956.665611532336,6146.726851608785
11026.0,6343182.033430956,-371714.9881521534,1223838.2210680875,-931.6456199849893,4957.187726352944,6144.884302905598
11027.0,6342245.721374732,-366757.5424873715,1229982.1802039542,-940.9782629897946,4957.702355525431,6143.032412058537
11028.0,6341300.077366528,-361799.58593662555,1236124.2827791795,-950.3095213396635,4958.209498130435,6141.171182137965
11029.0,6340345.102798819,-356841.125986932,1242264.5194562387,-959.6393793924392,4958.709153271738,6139.300616243851
11030.0,6339380.799079723,-351882.1701262012,1248402.8809007101,-968.9678215046509,4959.201320056213,6137.420717479228
11031.0,6338407.1676330045,-346922.7258432357,1254539.3577812752,-978.2948320315643,4959.685997594101,6135.531488950561
11032.0,6337424.209898068,-341962.8006277161,1260673.940769737,-987.6203953371444,4960.163185025489,6133.632933802763
11033.0,6336431.9273299435,-337002.40197015554,1266806.6205410792,-996.9444958044185,4960.632881547176,6131.7250552546275
11034.0,6335430.3213992715,-332041.5373618415,1272937.3877735422,-1006.267117835323,4961.095086411269,6129.807856596871
11035.0,6334419.393592282,-327080.2142947928,1279066.2331486777,-1015.5882458401924,4961.549798896639,6127.881341154329
11036.0,6333399.145410797,-322118.4402617471,1285193.147351365,-1024.9078642291045,4961.997018285943,6125.945512255587
